n112xon111|8,8 8,6 7,8 7,6 
n96on15xon14xn96|9,9 
n96on15xon14xn15xn15on64|7,9 
n96on15xon14xn13xoxn15on64|7,8 
n96on15xon12ox2n13xoxn15on64|7,10 7,6 
n96on15xn112|8,6 7,6 6,8 6,7 
n96on15xn13xn13on84|8,6 
n84on11onxn13xn13xn13on84|8,7 7,8 
n84on11onxn13x2n12xnon11on84|9,7 
n84on11onxn13x3on10xnon11on84|6,7 
n84on11onxn11ox4on10xnon11on84|7,5 
n66on15xnon11onxn11ox4on10xnon11on84|10,8 
n66on15xnon11onxn11ox4on10xnonxn9on5on78|7,6 
n66o2n14xnon11ox2n11ox4on10xnonxn9on5on78|7,8 
n66o2n14xnon11ox2n11ox4on10x2onxn9onon3on78|6,9 
n66o2n14xnon11ox2n11ox4on10x2onxn9oxon3on8on69|5,8 
n66o2n14xo2n11ox2n11ox4on9x3onxn9oxon3on8on69|9,6 
n66o2n14xo3n10ox3n10ox4on9x3onxn9oxon3on8on69|6,10 
n66o2n14xo3n10ox3n10ox4on9x3onxn9oxon3on8oxn14on53|4,9 4,8 
n66o2n14xo3n10ox3n10ox4on7ox4onxn9oxon3on8oxn14on53|4,9 
n66o2n14xo3n10ox3n10ox4on7ox4onxn8xoxon3on6onoxn14on53|10,6 
n66o2n14xo3n10ox4on8ox4on7ox4onxn8xoxon3on6onoxn14on53|4,7 
n66o2n14xo3n8onox4on7xox4on7ox4onxn8xoxon3on6onoxn14on53|7,10 3,6 
n66o2n14xo3n7o2nox4on7xox4on7ox4onxn8xoxon3on6onox2n13on53|8,11 
n112xn15on96|8,7 8,6 7,8 6,8 
n98on13xn13xnon96|8,7 
n98on12ox2n12xnon96|9,7 
n98on12ox3on10xnon96|7,8 
n98o2n11ox3on10x2on96|7,6 
n82on14xo2n11ox3on10x2on96|7,9 
n82on14xo2n11ox3on10x2on13xn14on67|9,8 8,10 6,5 5,7 
n82on14xo2n10o2x3on10x2on13xn14oxn66|9,11 
n82on14xo2n10o2x3on10x2on13xn14oxn15xn15on34|6,5 
n81xon14xo2n10o2x3on10x2o2n12xn14oxn15xn15on34|5,4 
n49on15xn15xon14xo2n10o2x3on10x2o2n12xn14oxn15xn15on34|8,9 
n49on15xn15xon14xo2n10o2x3on10x2o2n12x2non11oxn15xn15on34|6,9 
n49on15xn15xon14xo2n10o2x3on10x2o2n10ox3non11oxn15xn15on34|5,10 
n49on15xn15xon14xo2n10o2x3on10x2o2n10ox3non9xnoxn10on4xn15on34|8,11 
n49on15xn15xon14xo2n10o2x3on10x2o2n10ox3non9xnoxn10ononx2n15on34|8,12 
n49on15xn15xon14xo2n10o2x3on10x2o2n10ox3non9xnoxn10ononx2n13xnon12on21|10,10 
n49on15xn15xon14xo2n10o2x3on10x2o2n10ox3no2n8xnoxnxn8ononx2n13xnon12on21|7,13 
n49on15xn15xon14xo2n10o2x3on10x2o2n10ox3no2n8xnoxnxn8ononx2n13xnon11xon12on8|9,10 
n49on15xn15xon14xo2n10o2x3on10x2o2non8ox3no2n8xnox3n8ononx2n13xnon11xon12on8|11,10 
n49on15xn15xon14xo2n10o2x3on10x2o2non8ox3no2n8xnox4on6ononx2n13xnon11xon12on8|10,11 
n49on15xn15xon14xo2n10o2x3on10x2o2non8ox3no2n8xnox4on6ononx3on11xnon11xon12on8|11,12 
