n112xon111|8,8 8,6 
n84on13xn13xon111|7,6 7,5 
n84on11ox2n13xon111|7,5 
n67on14xnon11ox2n13xon111|6,4 
n66xon14xnon11ox2n13xo2n110|9,6 6,8 
n66xon14xnon11ox2n13xo2n11xn13on84|9,6 
n66xon14xnon11ox3on11xo2n11xn13on84|7,9 
n66xon14xnon11ox3on11xo2n11xon12onxn82|5,7 
n66xon14xnon9onox3on9xnxo2n11xon12onxn82|6,7 
n112xn112|5,5 5,9 9,5 9,9 
n112xn31on80|8,6 6,8 
n98xn13xn31on80|6,8 10,4 
n70on27xn13xn31on80|7,6 
n70on26x2n13xn31on80|7,9 
n70on26x2n13xn29onon80|6,6 
n70on25x3n13xn29onon80|5,6 
n70on24ox3n13xn29onon80|7,5 
n70on11xn12ox3n13xn29onon80|7,4 
n67on2on11xn12ox3n13xn29onon80|9,7 
n67on2on11xn12ox3n13xnxn27onon80|10,8 
n67on2on11xn12ox3n13xnxn15on11onon80|8,7 
n67on2on11xn12ox3n13x3n15on11onon80|6,7 
n67on2on11xn12ox3n12ox3n15on11onon80|8,4 
n67oxnon11xn12ox3n12ox3n15on11onon80|8,9 
n67oxnon11xn12ox3n12ox3n15on11o3n80|8,5 
n67oxnon11x2n11ox3n12ox3n15on11o3n80|8,3 8,8 10,9 7,8 6,9 4,5 9,10 5,9 11,9 11,7 5,7 10,6 6,5 10,7 9,3 6,4 9,6 4,8 10,2 8,10 3,4 5,3 4,7 5,5 9,8 7,11 12,6 6,8 10,3 11,5 5,4 9,5 9,4 10,5 7,10 10,11 4,4 10,10 5,8 11,8 9,11 3,8 9,2 6,3 7,3 11,4 4,6 6,10 6,11 4,9 3,6 5,11 8,11 12,8 6,2 11,3 8,2 11,11 12,4 7,2 12,10 5,2 12,2 
n67oxnon10ox2n11ox3n12ox3n15on11o3n80|8,3 
n54on57xn112|8,8 8,7 6,7 
n54on57xn15xn96|5,5 9,9 10,10 
n54on57xn15xn31on64|7,8 
n54on57xn14x2n31on64|9,4 
n54on14on42xn14x2n31on64|6,8 
n54on14on42xn13x3n31on64|9,8 5,8 
n54on14on42xn13x3on30on64|7,9 
n54on14on42xn13x3on12xn17on64|7,6 
n54on14on27on14xn13x3on12xn17on64|9,7 
n54on14on27on14xnxn11x3on12xn17on64|6,10 
n54on14on27on14xnxn11x3on12xn13on3on64|8,7 
n54on14on27on14x3n11x3on12xn13on3on64|6,7 
n54on14on27on13ox3n11x3on12xn13on3on64|8,5 
n54on14on13xn13on13ox3n11x3on12xn13on3on64|8,6 
n54on14on13xn13o2n12ox3n11x3on12xn13on3on64|9,6 
n54on14on13xn13o2xn11ox3n11x3on12xn13on3on64|10,5 
n54on14on13xnon11o2xn11ox3n11x3on12xn13on3on64|8,10 
n54on14on13xnon11o2xn11ox3n11x3on12xn13onxnon64|8,3 
n53o2n14on13xnon11o2xn11ox3n11x3on12xn13onxnon64|5,7 
